asin,中文名称,描述(选填),净重,毛重(必填),单价,产品相关链接(选填),供应商(必填),地址(选填),联系人(选),电话(选填),所属品类(必填),建议上架平台(必填),产品全部上架,sku,起订量,回货周期,采购员
﻿400726438553,,,,,307.0,http://www.ebay.com/itm/400726438553,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿281048978110,,,,,4.5,http://www.ebay.com/itm/281048978110,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿281353079545,,,,,19.0,http://www.ebay.com/itm/281353079545,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿261469577810,,,,,19.0,http://www.ebay.com/itm/261469577810,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿261449251697,,,,,15.5,http://www.ebay.com/itm/261449251697,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿221339395365,,,,,30.0,http://www.ebay.com/itm/221339395365,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿220976419331,,,,,70.0,http://www.ebay.com/itm/220976419331,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿221105578285,,,,,4.5,http://www.ebay.com/itm/221105578285,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿200777082425,,,,,750.0,http://www.ebay.com/itm/200777082425,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿190691639102,,,,,8.0,http://www.ebay.com/itm/190691639102,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿171081876792,,,,,29.0,http://www.ebay.com/itm/171081876792,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿190606409140,,,,,70.0,http://www.ebay.com/itm/190606409140,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿150713427082,,,,,13.0,http://www.ebay.com/itm/150713427082,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿121342323324,,,,,15.5,http://www.ebay.com/itm/121342323324,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
﻿111047131290,,,,,15.5,http://www.ebay.com/itm/111047131290,深圳融丰电子,深圳市赛格广场7006z-7007z,孟青,13802579180,,,,,3,3,YuanWeiteng
